title,phone,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,city,address,imageUrl
Salon Lili-Roz,+212 7 67 59 52 06,dimanche,09:00 to 19:00,lundi,09:00 to 19:00,mardi,09:00 to 19:00,mercredi,09:00 to 19:00,jeudi,09:00 to 19:00,vendredi,09:00 to 19:00,samedi,09:00 to 19:00,Agadir,"Bloc 14, Avenue A Hay Bir Anzarane, Agadir 60400, Maroc",https://lh3.googleusercontent.com/p/AF1QipNkVpp8MvXlwak0DjvwkH2XcWxL9E4SwmQZBe1H=w408-h272-k-no
Salon JOURI hair,+212 6 93 63 25 49,dimanche,10:00 to 22:00,lundi,Fermé,mardi,10:00 to 22:00,mercredi,10:00 to 22:00,jeudi,10:00 to 22:00,vendredi,10:00 to 22:00,samedi,10:00 to 22:00,Agadir,"nr 158 Rue wiam, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUqMmbP0lOvOJjk7lJvquzcapdBFaOceSCgREkTZ3o2crCrT3X27h3dFmCaAQ91lTlokMSzQ8TGPm9V3yakoWuTmjlBiicc-B9NupbZxNBkyQ5xzIhrEBs2PobK3BdsnKTa8YBQg=w408-h544-k-no
Salon Paris,,,,,,,,,,,,,,,,Agadir,"9FQR+9RV Adrar, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepPIPNvnc0XNWFPtm2tcm2_vOO2pL79nDZIETvVJID6v1nEvEMfj8yg0QoGjt_wOt0BzZGFo092dgXFget8QTYuD5jLp_vYA1U9o5gvkdWBnqaOKtddWE-MclN-Ny08q04NTmoufQ=w408-h305-k-no
Salon Adrar,+212 6 35 81 50 98,dimanche,09:00 to 23:00,lundi,09:00 to 23:00,mardi,09:00 to 23:00,mercredi,09:00 to 23:00,jeudi,09:00 to 23:00,vendredi,09:00 to 23:30,samedi,09:00 to 23:00,Agadir,"Adrar, Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipPisFrswk4y5s_XXR5cFPF9NCrvjLpU06OtBi2T=w408-h725-k-no
Yes Fashion Barber House ( service coiffeur a domicile ),+212 6 87 13 53 08,dimanche,10:00 to 23:00,lundi,10:00 to 23:00,mardi,10:00 to 23:00,mercredi,10:00 to 23:00,jeudi,10:00 to 23:00,vendredi,10:00 to 23:00,samedi,10:00 to 23:00,Agadir,"9FR3+PVH, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweq9Leicte9cW6eyZAy5ux1loSk6DlTUSWx_QJrfPHqifVAdmYw9VzxvfA7pmkNGPQhKcsWULz-FK6Mwl-DZH_fe2avXiWpbxM_C4OrJ0lwKKs_dL9WY6g6w5dX1ClwsxQxxcZKOBgMv6oCL=w408-h544-k-no
Salon Rochdi,+212 6 05 13 73 54,dimanche,Ouvert 24h/24,lundi,Ouvert 24h/24,mardi,Ouvert 24h/24,mercredi,Ouvert 24h/24,jeudi,Ouvert 24h/24,vendredi,Fermé,samedi,Ouvert 24h/24,Agadir,"Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipPezLMqD3VTbROm-WQv5QwJeMsIgIXj_JtzM6FD=w408-h725-k-no
Maryam beauty salon,,,,,,,,,,,,,,,,Ait amira,"Agadir Aït Amira, Lot samt asrir, Ait amira 87052, Maroc",https://lh3.googleusercontent.com/p/AF1QipNq6FbEcZzvcnAc1t5tFTyTYW9Uunb5At5mP2Ex=w408-h387-k-no
salon najat beauty,,,,,,,,,,,,,,,,Agadir,"حديقة الرياضة، Unnamed Road, Agadir 80000،، Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbbihnaPu2lsv1yMmYcGk9L9EEHIkPpnF2JKHxwjrYGctKBgoAT5cmIvBhdy2yA4NzzQ6n06nMGZBiBVuq3wCNtmudfrGWg4AGzMy_zN8MqiekXU_XLiYe3Fgm8iF8_i6476ND=w408-h544-k-no
Salon Belattar,,,,,,,,,,,,,,,,Agadir,"F942+FM2, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6EXiBsOBHXY1irXWxv5Vygk5iedzmZFm0SmJNTtkQ6pRSlhgOiBASqnAnkbQZF6nvXh2OJN0vm57IH_bvLXlZ80sLAZicuEoIFPhIREpfy7cqK4kz8BSy2QWqb5VhRfH42GVT=w408-h544-k-no
Salon imane,+212 6 35 53 28 29,dimanche,Ouvert 24h/24,lundi,Ouvert 24h/24,mardi,Ouvert 24h/24,mercredi,Ouvert 24h/24,jeudi,Ouvert 24h/24,vendredi,Ouvert 24h/24,samedi,Ouvert 24h/24,Anza,"F932+QVP, Anza 80000, Maroc",
